Name,Salary,Age,GP,GS,MIN,FG%,3P%,FT%,OR,DR,AST,STL,BLK,TO,PF,PTS,Position,SalaryCap
Kyle Singler,1045000,25,82,36,2337,0.447,0.382,0.826,116,187,75,61,38,79,211,784,SF,58679000
Rodney Stuckey,8500000,27,73,5,1950,0.436,0.273,0.836,39,130,152,54,10,125,131,1012,SG,58679000
Kentavious Caldwell-Pope,2653080,20,80,41,1583,0.396,0.319,0.77,38,118,55,75,12,28,145,470,SG,58679000
Will Bynum,2790343,31,56,3,1054,0.428,0.323,0.802,24,75,216,39,7,103,121,485,PG,58679000
Jonas Jerebko,4500000,26,64,0,741,0.471,0.419,0.729,51,124,39,21,6,43,85,270,PF,58679000
Josh Harrellson,884293,24,32,0,317,0.463,0.387,0.714,30,46,15,6,15,10,44,93,C,58679000
Chauncey Billups,2500000,37,19,7,309,0.304,0.292,0.833,4,24,42,8,1,25,25,72,PF,58679000
Paul George,3282003,23,80,80,2898,0.424,0.364,0.864,64,478,283,151,22,224,198,1737,SF,58679000
Lance Stephenson,1005000,23,78,78,2752,0.491,0.352,0.711,95,463,359,54,7,210,195,1080,SG,58679000
David West,12000000,33,80,80,2472,0.488,0.267,0.789,120,422,223,61,74,133,186,1118,PF,58679000
George Hill,8000000,27,76,76,2434,0.442,0.365,0.807,53,230,265,75,23,92,158,781,PG,58679000
Roy Hibbert,14283844,27,81,81,2409,0.439,0.4,0.77,202,336,91,29,182,148,269,871,C,58679000
Luis Scola,4508504,33,82,2,1399,0.47,0.143,0.728,86,305,81,26,16,108,164,626,PF,58679000
Ian Mahinmi,4000000,27,77,1,1248,0.481,0,0.621,107,150,24,41,72,58,207,272,C,58679000
C.J. Watson,2016000,29,63,5,1193,0.437,0.366,0.784,19,82,107,60,8,60,66,414,PG,58679000
Donald Sloan,884293,26,48,1,392,0.376,0.238,0.6,4,40,50,10,1,22,19,110,SG,58679000
Orlando Johnson,788872,24,38,0,342,0.344,0.195,0.773,7,44,16,6,1,14,23,91,SG,58679000
Chris Copeland,3000000,29,41,0,265,0.47,0.418,0.714,7,25,18,3,7,14,38,153,SF,58679000
Solomon Hill,1246680,22,28,0,226,0.425,0.304,0.857,9,32,12,5,2,13,19,47,SF,58679000
Tristan Thompson,4062000,22,82,82,2594,0.477,0,0.693,269,485,72,42,35,108,188,961,PF,58679000
Kyrie Irving,5607240,21,71,71,2496,0.43,0.358,0.861,52,207,433,108,23,190,163,1478,PG,58679000
Jarrett Jack,6300000,30,80,31,2252,0.41,0.341,0.839,22,201,324,56,22,133,133,760,PG,58679000
Dion Waiters,2894240,22,70,24,2072,0.433,0.368,0.685,32,163,209,63,17,154,153,1113,SG,58679000
Anderson Varejao,9036364,31,65,29,1800,0.495,0,0.681,187,442,140,69,39,72,164,546,C,58679000
Tyler Zeller,1633440,24,70,9,1049,0.538,0,0.719,103,179,36,18,38,60,137,399,C,58679000
Alonzo Gee,3250000,26,65,24,1020,0.415,0.328,0.705,35,114,47,39,15,44,96,258,SF,58679000
C.J. Miles,2225000,26,51,34,984,0.435,0.393,0.853,18,85,52,46,15,44,103,503,SG,58679000
Earl Clark,4250000,26,45,17,698,0.375,0.345,0.583,20,107,16,16,19,30,61,234,PF,58679000
Anthony Bennett,5324280,20,52,0,663,0.356,0.245,0.638,49,106,17,21,8,47,93,217,PF,58679000
Sergey Karasev,1467840,20,22,1,156,0.343,0.211,0.9,0,16,6,3,1,11,22,37,SF,58679000
